year,consumption_co2_per_capita,gdp,cement_co2_per_capita,co2_growth_prct,co2_including_luc_per_capita,co2_per_capita,coal_co2_per_capita,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,energy_per_capita,flaring_co2_per_capita,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2_per_capita,methane_per_capita,nitrous_oxide_per_capita,oil_co2_per_capita,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,trade_co2
0.45454545454543904,0.5988700564971751,0.3558757986801886,0.32653061224489793,0.6139445126688554,0.34586466165413543,0.7798066595059078,0.5714285714285714,0.23517520215633514,0.32409076601711106,0.30152799464644175,0.44954128440366503,0.0,0.5357142857142918,0.5869723435225751,0.3227914756535748,0.4520046350637257,0.0,0.4545454545454546,0.6713747645951034,0.8833865814696487,0.3291015625,0.25547445255474344,0.48648648648648685,0.5356725146198831,0.4427462967317184,0.5428571428571428,0.7000000000000001,0.42857142857142855,0.5,0.4117647058823528,0.5,0.33333333333333215,0.5,0.0,0.5999999999999996,0.5000000000000018,0.0,0.0,1.0,0.296875,0.6363636363636365,0.5,0.0,0.0,0.0,0.0,0.6338797814207648,0.44243301955104997
0.45454545454543904,0.5988700564971751,0.3558757986801886,0.32653061224489793,0.6139445126688554,0.34586466165413543,0.7798066595059078,0.5714285714285714,0.23517520215633514,0.32409076601711106,0.30152799464644175,0.44954128440366503,0.0,0.5357142857142918,0.5869723435225751,0.3227914756535748,0.4520046350637257,0.0,0.4545454545454546,0.6713747645951034,0.8833865814696487,0.3291015625,0.25547445255474344,0.48648648648648685,0.5356725146198831,0.4427462967317184,0.5428571428571428,0.7000000000000001,0.42857142857142855,0.5,0.4117647058823528,0.5,0.33333333333333215,0.5,0.0,0.5999999999999996,0.5000000000000018,0.0,0.0,1.0,0.296875,0.6363636363636365,0.5,0.0,0.0,0.0,0.0,0.6338797814207648,0.44243301955104997
0.45454545454543904,0.5988700564971751,0.3558757986801886,0.32653061224489793,0.6139445126688554,0.34586466165413543,0.7798066595059078,0.5714285714285714,0.23517520215633514,0.32409076601711106,0.30152799464644175,0.44954128440366503,0.0,0.5357142857142918,0.5869723435225751,0.3227914756535748,0.4520046350637257,0.0,0.4545454545454546,0.6713747645951034,0.8833865814696487,0.3291015625,0.25547445255474344,0.48648648648648685,0.5356725146198831,0.4427462967317184,0.5428571428571428,0.7000000000000001,0.42857142857142855,0.5,0.4117647058823528,0.5,0.33333333333333215,0.5,0.0,0.5999999999999996,0.5000000000000018,0.0,0.0,1.0,0.296875,0.6363636363636365,0.5,0.0,0.0,0.0,0.0,0.6338797814207648,0.44243301955104997
0.45454545454543904,0.5988700564971751,0.3558757986801886,0.32653061224489793,0.6139445126688554,0.34586466165413543,0.7798066595059078,0.5714285714285714,0.23517520215633514,0.32409076601711106,0.30152799464644175,0.44954128440366503,0.0,0.5357142857142918,0.5869723435225751,0.3227914756535748,0.4520046350637257,0.0,0.4545454545454546,0.6713747645951034,0.8833865814696487,0.3291015625,0.25547445255474344,0.48648648648648685,0.5356725146198831,0.4427462967317184,0.5428571428571428,0.7000000000000001,0.42857142857142855,0.5,0.4117647058823528,0.5,0.33333333333333215,0.5,0.0,0.5999999999999996,0.5000000000000018,0.0,0.0,1.0,0.296875,0.6363636363636365,0.5,0.0,0.0,0.0,0.0,0.6338797814207648,0.44243301955104997
0.45454545454543904,0.5988700564971751,0.3558757986801886,0.32653061224489793,0.6139445126688554,0.34586466165413543,0.7798066595059078,0.5714285714285714,0.23517520215633514,0.32409076601711106,0.30152799464644175,0.44954128440366503,0.0,0.5357142857142918,0.5869723435225751,0.3227914756535748,0.4520046350637257,0.0,0.4545454545454546,0.6713747645951034,0.8833865814696487,0.3291015625,0.25547445255474344,0.48648648648648685,0.5356725146198831,0.4427462967317184,0.5428571428571428,0.7000000000000001,0.42857142857142855,0.5,0.4117647058823528,0.5,0.33333333333333215,0.5,0.0,0.5999999999999996,0.5000000000000018,0.0,0.0,1.0,0.296875,0.6363636363636365,0.5,0.0,0.0,0.0,0.0,0.6338797814207648,0.44243301955104997
0.0,0.07344632768361581,0.019037171929983998,0.3163265306122449,0.8047166737675748,0.14517061885482935,0.17400644468313653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666856,0.0,0.0,0.0,1.0000000000000002,0.2777777777777777,0.4568690095846648,0.30859375,1.0,0.8243243243243246,0.12397660818713452,0.0,0.4857142857142857,0.29999999999999993,0.21428571428571436,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.296875,0.2272727272727273,1.0,0.0,0.0,0.0,0.0,0.5464480874316937,0.0
0.09090909090909349,0.19370460048426152,0.12405861738434365,0.32653061224489793,0.5035964010927044,0.08906882591093118,0.15359828141783038,0.6000000000000001,0.07075471698113311,0.05771596989727268,0.05729979924157824,0.13073394495411605,0.0,0.1428571428571459,0.6801310043668423,0.05436129352001018,0.15549983137041634,0.0,0.7272727272727273,0.20527306967984948,0.34025559105431347,0.232421875,0.6788321167883211,0.22972972972972983,0.11929824561403513,0.17893251822243106,0.4857142857142857,0.20000000000000007,0.14285714285714285,0.5,0.8823529411764706,1.0,1.0,1.0,0.0,1.0,0.8333333333333339,1.0,0.0,1.0,0.21875,0.18181818181818177,1.0,0.0,0.0,0.0,0.0,0.39890710382513683,0.3982621288921071
0.18181818181818699,0.0,0.0,0.16326530612244897,0.0,0.0,0.0,0.0,0.10579514824797887,0.10186854379488963,0.10032344412223893,0.18119266055045102,0.0,0.2629870129870113,0.6801310043668423,0.09806715400817767,0.021628726081704075,0.0,0.5454545454545454,0.0,0.0,0.2216796875,0.2773722627737225,0.0,0.0,0.00909162160043886,0.22857142857142856,0.0,0.0,0.0,0.7647058823529411,0.5,0.6666666666666661,1.0,0.0,0.7999999999999998,0.6666666666666696,0.0,0.0,1.0,0.203125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.165097755249819
0.2727272727272805,0.08071025020177558,0.09975968720391637,0.13265306122448978,0.9332848800781935,0.04626951995373052,0.07411385606874343,0.08571428571428574,0.13477088948787053,0.15208744670501062,0.1502621012714691,0.2431192660550323,0.0,0.37012987012987253,0.6935953420669705,0.1483397348531783,0.14619863493602137,0.0,0.4545454545454546,0.0847457627118644,0.1357827476038338,0.232421875,0.0,0.16216216216216228,0.07953216374269012,0.1445254330276664,0.19999999999999998,0.10000000000000009,0.07142857142857145,0.5,0.6470588235294117,0.5,0.6666666666666661,1.0,0.0,0.7999999999999998,0.6666666666666696,0.0,0.0,1.0,0.21875,0.09090909090909094,0.75,0.0,0.0,0.0,0.0,0.12568306010928998,0.23606082548877627
0.45454545454543904,0.5988700564971751,0.3558757986801886,0.32653061224489793,0.6139445126688554,0.34586466165413543,0.7798066595059078,0.5714285714285714,0.23517520215633514,0.32409076601711106,0.30152799464644175,0.44954128440366503,0.0,0.5357142857142918,0.5869723435225751,0.3227914756535748,0.4520046350637257,0.0,0.4545454545454546,0.6713747645951034,0.8833865814696487,0.3291015625,0.25547445255474344,0.48648648648648685,0.5356725146198831,0.4427462967317184,0.5428571428571428,0.7000000000000001,0.42857142857142855,0.5,0.4117647058823528,0.5,0.33333333333333215,0.5,0.0,0.5999999999999996,0.5000000000000018,0.0,0.0,1.0,0.296875,0.6363636363636365,0.5,0.0,0.0,0.0,0.0,0.6338797814207648,0.44243301955104997
