Model,MAE,RMSE,R2
Linear Regression,0.23618435495433615,0.2824443623467019,0.24556195974836825
Decision Tree,0.22717969551854467,0.27629305477762667,0.27806567132373794
Random Forest,0.23643960983258624,0.2859584438948318,0.22667222732347303
AdaBoost,0.23191161127980817,0.2780308186931413,0.26895580267418495
LightGBM,0.24341265156795372,0.2906489582428756,0.20109470695047083
XGBoost,0.23926197351077036,0.2871036081763493,0.2204660068251174
CatBoost,0.23535241866524736,0.28715498967110004,0.22018696326916332
